Date,Size,Factory,Location,X,Y
2022-08-01,45',A3,LC31,1096,1303
2022-08-01,55',A4,LC35,658,766
2022-08-01,35',A4,LC41,1407,1249
2022-08-01,45',A2,LC41,1410,410
2022-08-01,45',A1,LC35,283,982
2022-08-01,35',A3,LC41,949,870
2022-08-01,55',A2,LC41,1479,973
2022-08-01,55',A1,LC45,149,1647
2022-08-01,75',A4,LC45,387,717
2022-08-01,45',A4,LC45,310,94
2022-08-01,45',A4,LC41,1656,468
2022-08-01,75',A3,LC45,49,619
2022-08-01,35',A4,LC51,1368,1561
2022-08-01,45',A2,LC41,381,627
2022-08-01,45',A1,LC35,63,1605
2022-08-01,45',A3,LC31,838,1401
2022-08-01,55',A2,LC31,802,214
2022-08-01,35',A4,LC31,446,1629
2022-08-01,55',A2,LC55,396,1672
2022-08-01,45',A4,LC41,1492,305
2022-08-01,55',A3,LC45,54,1611
2022-08-01,55',A2,LC45,792,645
2022-08-01,55',A2,LC51,1302,797
2022-08-01,45',A3,LC45,65,1604
2022-08-01,35',A2,LC51,1954,987
2022-08-01,35',A2,LC41,426,723
2022-08-01,45',A3,LC45,348,1256
2022-08-01,75',A2,LC31,790,586
2022-08-01,55',A3,LC45,630,832
2022-08-01,75',A4,LC41,626,588
2022-08-01,45',A4,LC45,7,3
2022-08-01,55',A4,LC45,595,1135
2022-08-01,55',A2,LC31,1558,386
2022-08-01,35',A2,LC41,947,295
2022-08-01,45',A1,LC41,250,267
2022-08-01,35',A4,LC51,1901,333
2022-08-01,45',A1,LC41,1898,849
2022-08-01,45',A2,LC31,825,1655
2022-08-01,45',A2,LC45,160,110
2022-08-01,45',A1,LC55,60,9
2022-08-01,35',A1,LC35,154,615
2022-08-01,45',A2,LC51,812,729
2022-08-01,45',A3,LC45,57,315
2022-08-01,55',A1,LC31,1130,1603
2022-08-01,55',A4,LC45,93,316
2022-08-01,75',A2,LC41,1576,1109
2022-08-01,35',A4,LC51,955,959
2022-08-01,55',A2,LC31,1313,754
2022-08-01,45',A1,LC45,859,1158
2022-08-01,75',A4,LC41,1218,713
2022-08-01,45',A2,LC45,86,736
2022-08-01,45',A1,LC51,913,194
2022-08-01,45',A1,LC35,137,349
2022-08-01,35',A4,LC41,1706,1327
2022-08-01,75',A3,LC41,1777,1601
2022-08-01,55',A4,LC41,726,1354
2022-08-01,55',A2,LC35,1008,841
2022-08-01,45',A4,LC51,352,970
2022-08-01,35',A2,LC55,5,734
2022-08-01,55',A1,LC41,455,1480
2022-08-01,55',A4,LC41,1081,1063
2022-08-01,45',A2,LC35,220,343
2022-08-01,55',A2,LC45,377,1368
2022-08-01,45',A2,LC41,1661,135
2022-08-01,45',A4,LC45,1304,1419
2022-08-01,45',A3,LC31,239,625
2022-08-01,35',A3,LC41,1413,894
2022-08-01,55',A4,LC41,1424,93
2022-08-01,75',A2,LC45,846,594
2022-08-01,35',A4,LC35,1073,148
2022-08-01,45',A4,LC45,892,896
2022-08-01,75',A3,LC45,29,21
2022-08-01,45',A4,LC41,548,1562
2022-08-01,45',A4,LC41,220,366
2022-08-01,45',A3,LC51,839,641
2022-08-01,45',A2,LC45,356,1068
2022-08-01,45',A3,LC35,89,1128
2022-08-01,75',A4,LC51,1092,566
2022-08-01,45',A4,LC51,1069,299
2022-08-01,45',A3,LC41,617,607
2022-08-01,45',A2,LC41,817,16
2022-08-01,45',A3,LC51,1010,1435
2022-08-01,75',A3,LC31,675,1026
2022-08-01,35',A4,LC41,894,1305
2022-08-01,35',A4,LC45,4,850
2022-08-01,45',A3,LC41,718,614
2022-08-01,35',A2,LC35,1088,900
2022-08-01,45',A2,LC41,1008,1639
2022-08-01,45',A2,LC45,3,1581
2022-08-01,55',A4,LC41,1419,1651
2022-08-01,35',A4,LC51,1630,820
2022-08-01,55',A1,LC55,14,1225
2022-08-01,45',A3,LC41,1137,501
2022-08-01,55',A1,LC41,194,357
2022-08-01,45',A4,LC51,1834,851
2022-08-01,45',A3,LC45,177,726
2022-08-01,45',A2,LC41,511,998
2022-08-01,45',A4,LC35,780,1507
2022-08-01,75',A4,LC55,1354,673
2022-08-01,45',A2,LC55,518,1124
2022-08-01,55',A3,LC31,845,591
2022-08-01,55',A4,LC41,171,64
2022-08-01,45',A2,LC51,902,1403
2022-08-01,55',A2,LC45,928,868
2022-08-01,45',A1,LC41,1801,30
2022-08-01,45',A4,LC51,1101,468
2022-08-01,75',A2,LC51,1744,1041
2022-08-01,45',A2,LC51,871,739
2022-08-01,55',A2,LC31,743,1296
2022-08-01,35',A4,LC45,557,1215
2022-08-01,35',A3,LC45,423,692
2022-08-01,45',A4,LC45,769,880
2022-08-01,55',A3,LC45,334,1430
2022-08-01,45',A2,LC31,1936,49
2022-08-01,55',A4,LC31,1600,441
2022-08-01,45',A3,LC35,159,709
2022-08-01,45',A2,LC45,730,1277
2022-08-01,45',A2,LC45,826,1596
2022-08-01,55',A3,LC51,966,1582
2022-08-01,55',A2,LC31,1407,1403
2022-08-01,55',A4,LC51,426,1659
2022-08-01,55',A3,LC51,1071,1561
2022-08-01,45',A4,LC41,1794,506
2022-08-01,35',A4,LC31,40,1531
2022-08-01,75',A4,LC45,20,613
2022-08-01,55',A3,LC35,1530,290
