Created Date,Fault Name,Fault Type,Is Fault?,Part Name,Tootlip Text,Vehicle ID
2020-03-04,Dent,Surface,1,Side Front Body,1,WAUVT54B13N682981
2020-04-29,Buldge,Surface,1,Rear Window,1,WAUVT54B13N682981
2020-03-28,Buldge,Surface,0,Side Grill,0,JN8AE2KP8B9379408
2020-04-17,Scratch,Surface,0,Rear Lower Body Part,0,WUARL48H55K317674
2020-03-09,Wrinkle,Surface,1,Windscreen,1,WUARL48H55K317674
2020-03-08,Contraction,Form,0,Front Wheel,0,JN1BY1AR8EM855276
2020-03-14,Depression,Surface,1,Rear Wheels,1,WBSBL93444J141083
2020-04-11,Radius,Form,0,Large Body Part,0,1G6DA8E5XC0923787
2020-04-15,Dent,Surface,0,Exhaust,0,YV4952CF6B1273359
2020-03-06,Gap,Panel Assembly,0,Wing Mirror,0,2T1KU4EE1BC735068
2020-04-07,Flush - Recess,Panel Assembly,0,Rear Window,0,2T1KU4EE1BC735068
2020-04-27,Dent,Surface,1,Rear Bumper,1,WAUVT54B13N682981
2020-03-20,Apeture Size,Form,1,Rear Bumper,1,WA1WMAFE1DD197132
2020-04-04,Crack,Form,0,Rear Lower Body Part,0,SALAK2V60FA063117
2020-04-08,Wrinkle,Surface,0,Rear Upper Body Part,0,KMHHT6KD3EU525854
2020-03-08,Flush - Recess,Panel Assembly,1,Rear Wheels,1,1FTWX3D52AE767976
2020-04-01,Scratch,Surface,1,Rear Window,1,1FTWX3D52AE767976
2020-03-03,Elevation,Surface,0,Rear Wheels,0,1FTWF3B5XAE874828
2020-03-11,Gap,Panel Assembly,0,Door Handle,0,1FTWX3D52AE767976
2020-03-17,Elevation,Surface,1,Light 1,1,WBAGL63584D917196
2020-04-12,Overall Dimensions,Form,0,Wing Mirror,0,1GD02ZCG2EF292063
2020-03-25,Elevation,Surface,1,Side Grill,1,WAUVT58E75A573003
2020-03-13,Flush - Protrusion,Panel Assembly,0,Exhaust,0,JN8AZ2KR8AT039702
2020-04-14,Buldge,Surface,0,Large Body Part,0,JN1CV6EK7CM203236
2020-04-23,Depression,Surface,1,Side Front Body,1,JH4DC538X6S125428
2020-03-12,Crack,Form,1,Windscreen,1,JH4DC538X6S125428
2020-04-22,Dent,Surface,0,Exhaust,0,SALAB2D40BA516923
2020-04-16,Wrinkle,Surface,1,Door Handle,1,2C3CCAAGXDH893662
2020-04-13,Elevation,Surface,0,Windows,0,WBALX3C50CC332974
2020-03-01,Depression,Surface,1,Large Body Part,1,WBA3B9C55EP613830
